F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Target
0.048198031,0.01493521,0.061520891,0.053254613,0.217459398,0.12488383,0.115899879,0.036200294,0.220895253,0.444840963,0.077691968,0.322656348,0.075293164,0.072032181,0.223819997,0.140638801,0.117722879,0.376939631,0.408979319,0.417991032,4
0.048198031,0.01493521,0.061520891,0.053254613,0.217459398,0.077691968,0.322656348,0.075293164,0.072032181,0.223819997,0.12488383,0.115899879,0.036200294,0.220895253,0.444840963,0.140638801,0.117722879,0.376939631,0.408979319,0.417991032,4
0.048198031,0.053254613,0.217459398,0.01493521,0.061520891,0.12488383,0.220895253,0.444840963,0.115899879,0.036200294,0.077691968,0.072032181,0.223819997,0.322656348,0.075293164,0.140638801,0.117722879,0.376939631,0.408979319,0.417991032,4
0.010181449,-0.009087827,0.017978928,0.082683124,0.202902729,0.12322571,0.155813818,0.00557385,0.250263659,0.44800626,0.054005671,0.339125479,0.047556461,0.077004257,0.228017898,0.135550098,0.130089535,0.376533643,0.412012724,0.487590657,4
0.00445699,-0.059727135,0.148099931,0.079338367,0.275217875,0.075990761,0.055582331,0.026323354,0.155828462,0.46508185,0.130647188,0.401668368,0.130187488,0.11315447,0.20699077,0.147256071,0.137462623,0.369740718,0.408864754,0.588067949,4
0.261972983,0.016890959,0.169471994,0.218405397,0.450573872,0.013793707,0.025830594,0.150603287,0.500856494,0.755493914,0.467423368,0.076262251,0.01706945,0.587411831,0.801555608,0.300907714,0.26425681,0.377112728,0.408161875,0.402867215,4
0.223956402,-0.007132077,0.125930031,0.247833908,0.436017203,0.012135587,0.065744534,0.119976843,0.5302249,0.75865921,0.443737071,0.092731381,-0.010667252,0.592383907,0.805753508,0.29581901,0.26911017,0.37634549,0.41155653,0.479655515,4
0.218231943,-0.057771385,0.256051034,0.244489151,0.508332349,-0.035099362,-0.034486953,0.140726347,0.435789703,0.775734801,0.520378587,0.15527427,0.071963775,0.62853412,0.78472638,0.307524984,0.2757974,0.369812561,0.408148565,0.577497422,4
0.070841338,0.00797389,0.075315677,0.102846181,0.208435936,0.125533059,0.058566405,0.045665414,0.203773071,0.467150498,0.082674848,0.622091193,0.081688794,0.025923527,0.289178675,0.164510567,0.168255844,0.375180822,0.401690233,0.439888447,4
0.148605522,0.002519529,0.061528451,0.086681383,0.205089055,0.121931257,0.075248821,0.036624495,0.203564099,0.455753105,0.074227254,0.548005802,0.080625169,0.031759099,0.273053962,0.1603478,0.152465822,0.371204279,0.400235798,0.464807751,4
0.254596779,0.381664165,0.282211944,0.376193093,0.40870238,0.337961422,0.563766305,0.502954988,0.525044008,0.58743886,0.417391521,0.187967352,0.072753096,0.18269203,0.271469684,0.356853842,0.145189956,0.774037645,0.831596337,0.354095059,1
0.254596779,0.381664165,0.282211944,0.376193093,0.40870238,0.417391521,0.187967352,0.072753096,0.18269203,0.271469684,0.337961422,0.563766305,0.502954988,0.525044008,0.58743886,0.356853842,0.145189956,0.774037645,0.831596337,0.354095059,1
0.254596779,0.376193093,0.40870238,0.381664165,0.282211944,0.337961422,0.525044008,0.58743886,0.563766305,0.502954988,0.417391521,0.18269203,0.271469684,0.187967352,0.072753096,0.356853842,0.145189956,0.774037645,0.831596337,0.354095059,1
0.245753463,0.371548698,0.242029626,0.334873055,0.367147518,0.278192712,0.541104476,0.491379076,0.506872574,0.606587814,0.400341712,0.20972514,0.049052046,0.202852256,0.288600455,0.342404041,0.144444128,0.770359365,0.830246479,0.511665293,1
0.258401139,0.417113403,0.363976761,0.39577224,0.418952426,0.400334854,0.564431606,0.50207252,0.507413879,0.598671681,0.342203922,0.140146186,0.063130601,0.1887305,0.171111157,0.355497525,0.155380377,0.779351146,0.840460351,0.599831425,1
0.535211328,0.384941238,0.437094685,0.677606464,0.708638931,0.586858402,0.518609155,0.48578665,0.574309604,0.705220198,0.219958024,0.070783829,0.181584007,0.24751299,0.638978068,0.464872905,0.196270955,0.775202215,0.830918999,0.333421605,1
0.526368012,0.37482577,0.396912368,0.636286426,0.667084069,0.527089692,0.495947326,0.474210739,0.55613817,0.724369152,0.202908215,0.092541617,0.157882956,0.267673216,0.656108838,0.450423104,0.189947006,0.771600799,0.829492277,0.487334939,1
0.539015688,0.420390476,0.518859502,0.697185611,0.718888977,0.649231834,0.519274456,0.484904182,0.556679475,0.716453019,0.144770425,0.022962664,0.171961511,0.25355146,0.538619541,0.463516588,0.211592189,0.780386644,0.839912085,0.589799015,1
0.145062486,0.363379397,0.30771706,0.385912287,0.410705742,0.342753102,0.562032727,0.519500456,0.544028371,0.586179596,0.413400014,0.272873689,0.080966192,0.463985086,0.28100785,0.378633604,0.142340253,0.769665383,0.817483731,0.34483861,1
0.273721633,0.368132835,0.301099013,0.383944852,0.410942343,0.336970873,0.566337709,0.518921434,0.538540622,0.589901349,0.414887898,0.240514317,0.068413208,0.371703617,0.281798285,0.377721999,0.134435787,0.821756601,0.882411034,0.383049739,1
0.130010414,0.191080599,0.120219579,0.197831555,0.278369678,0.201761356,0.325173785,0.331871566,0.310365284,0.391933437,0.214321789,0.06112161,0.037420223,0.065927975,1.011145896,0.25790365,0.226735549,0.550252036,0.599403409,0.359381222,2
0.130010414,0.191080599,0.120219579,0.197831555,0.278369678,0.214321789,0.06112161,0.037420223,0.065927975,1.011145896,0.201761356,0.325173785,0.331871566,0.310365284,0.391933437,0.25790365,0.226735549,0.550252036,0.599403409,0.359381222,2
0.130010414,0.197831555,0.278369678,0.191080599,0.120219579,0.201761356,0.310365284,0.391933437,0.325173785,0.331871566,0.214321789,0.065927975,1.011145896,0.06112161,0.037420223,0.25790365,0.226735549,0.550252036,0.599403409,0.359381222,2
0.113568539,0.189966538,0.116608779,0.196213278,0.293050597,0.234285156,0.314407457,0.393061141,0.302901941,0.392765327,0.216286518,0.063708017,-0.039593961,0.101690298,1.014156396,0.260205068,0.233362957,0.551438582,0.603353188,0.486668205,2
0.108285991,0.160391655,0.115420437,0.23352165,0.340827538,0.240506189,0.405462127,0.322988876,0.258401447,0.403300842,0.228943516,0.028707345,0.040295627,0.073252013,0.960631633,0.261395792,0.221447061,0.550642382,0.604289037,0.558876135,2
0.383218481,0.191328593,0.255096704,0.309448455,0.431835937,0.386240884,0.283082166,0.300882657,0.451030945,0.423507661,0.061206511,0.034456623,0.036097287,0.25734342,0.369299388,0.278271714,0.136804124,0.550830977,0.598376054,0.335972615,2
0.366776606,0.190214531,0.251485904,0.307830178,0.446516857,0.418764684,0.272315838,0.362072232,0.443567602,0.42433955,0.06317124,0.03704303,-0.040916898,0.293105742,0.372309888,0.280573132,0.149725137,0.552200756,0.602142601,0.474913909,2
0.361494058,0.160639649,0.250297563,0.34513855,0.494293797,0.424985717,0.363370508,0.291999967,0.399067107,0.434875065,0.075828238,0.002042358,0.038972691,0.264667457,0.318785124,0.281763857,0.145361036,0.550897386,0.603585619,0.555463293,2
0.069648339,0.190483455,0.123800908,0.20546227,0.275287791,0.190109965,0.322822219,0.33482727,0.367701537,0.436556988,0.242727863,0.058700396,0.041450573,0.529680819,1.475245143,0.324300369,0.336267858,0.547803378,0.588616652,0.356656262,2
0.130602777,0.189371976,0.124702016,0.204417508,0.274345818,0.196448699,0.324203773,0.33894443,0.343556935,0.425226138,0.233124223,0.059827207,0.03280022,0.38993476,1.472973193,0.316031978,0.329192116,0.572316555,0.620974647,0.381709197,2
0.081102055,1.763785917,0.023872531,0.003534025,0.111657184,0.085522664,0.089067652,0.070035863,0.190284983,0.250175548,0.029163205,0.093228841,0.194761846,0.913845794,1.577258775,0.365153126,0.554965343,0.460711875,0.541966551,0.253645347,3
0.081102055,1.763785917,0.023872531,0.003534025,0.111657184,0.029163205,0.093228841,0.194761846,0.913845794,1.577258775,0.085522664,0.089067652,0.070035863,0.190284983,0.250175548,0.365153126,0.554965343,0.460711875,0.541966551,0.253645347,3
0.081102055,0.003534025,0.111657184,1.763785917,0.023872531,0.085522664,0.190284983,0.250175548,0.089067652,0.070035863,0.029163205,0.913845794,1.577258775,0.093228841,0.194761846,0.365153126,0.554965343,0.460711875,0.541966551,0.253645347,3
0.086477839,1.724948785,0.032958897,-0.012740128,0.082150872,0.090701516,0.12596759,0.071820502,0.193404738,0.222276448,0.005021278,0.109615392,0.137429439,0.880616088,1.548588041,0.353282486,0.544021971,0.458941702,0.541398061,0.41659224,3
0.077541597,1.730003763,0.015179732,0.028898012,0.106418165,0.019594717,0.009806638,-0.049017805,0.24648102,0.259359792,0.074908271,0.02732755,0.271904537,0.913801122,1.505605443,0.349187504,0.547443209,0.453591144,0.537786967,0.563155179,3
0.334226142,1.795255775,0.148486353,0.12742777,0.313381696,0.232474757,0.101390921,0.117234463,0.241896378,0.267157215,0.108554228,0.199366561,0.057431576,1.512633573,0.254936191,0.387456907,0.505644099,0.462578526,0.539280043,0.273260533,3
0.339601926,1.756418642,0.157572719,0.111153616,0.283875383,0.237653609,0.138290859,0.119019103,0.245016134,0.239258115,0.0844123,0.215753112,9.92E-05,1.479403867,0.226265457,0.375586267,0.496835518,0.460699203,0.538820703,0.444873775,3
0.330665684,1.761473621,0.139793554,0.152791757,0.308142676,0.16654681,0.022129907,-0.001819205,0.298092416,0.276341459,0.154299294,0.13346527,0.134574267,1.512588901,0.183282859,0.371491285,0.506924439,0.455351518,0.535206736,0.551530125,3
0.023244683,0.882871705,0.013260576,0.012168276,0.114314818,0.087946569,0.103030345,0.097548328,0.197376938,0.248931124,0.033204985,0.118610184,0.216940479,0.787713868,1.551685455,0.299256555,0.421846904,0.466532055,0.52460303,0.261629064,3
0.098477945,1.25508214,0.015021313,0.007514007,0.115035155,0.089766,0.101323925,0.093644771,0.195334319,0.250011471,0.03272306,0.113895254,0.212738042,0.887752696,1.515825741,0.332276389,0.462977196,0.512887675,0.596050062,0.271902379,3
1.060976633,1.130450323,0.072177369,0.023380474,0.675021426,0.589239065,0.212955074,0.151112325,0.224124344,0.74497847,1.060621772,0.084877115,0.702751916,7.477270368,2.369264584,1.105280084,1.802034413,1.058344668,1.267968587,1.542095924,4
1.060976633,1.130450323,0.072177369,0.023380474,0.675021426,1.060621772,0.084877115,0.702751916,7.477270368,2.369264584,0.589239065,0.212955074,0.151112325,0.224124344,0.74497847,1.105280084,1.802034413,1.058344668,1.267968587,1.542095924,4
1.060976633,0.023380474,0.675021426,1.130450323,0.072177369,0.589239065,0.224124344,0.74497847,0.212955074,0.151112325,1.060621772,7.477270368,2.369264584,0.084877115,0.702751916,1.105280084,1.802034413,1.058344668,1.267968587,1.542095924,4
1.060431985,1.115246572,0.084501272,0.040589959,0.639790605,0.56146492,0.246607689,0.116934453,0.217203064,0.798130762,1.076349342,0.067780091,0.695568377,7.474522662,2.37347721,1.104573264,1.801997443,1.053595907,1.2635931,1.583439258,4
1.046284174,1.179216223,0.145685051,0.044498129,0.763564999,0.648808926,0.167997992,0.14349321,0.253209703,0.69579707,0.968019433,-0.028522431,0.667908074,7.521855135,2.366969037,1.105652315,1.813602867,1.062391198,1.273297215,1.716235695,4
0.775437752,1.156778027,0.176092198,0.192665026,0.684370396,0.235488675,0.072810705,0.08668302,0.382965814,0.278719268,0.113809912,0.937647039,2.38460214,2.316899278,2.058767909,0.790249144,0.799422779,1.065125405,1.260028605,1.354800593,4
0.774893104,1.141574276,0.188416101,0.20987451,0.649139575,0.20771453,0.106463321,0.052505148,0.376044534,0.33187156,0.129537482,0.920550014,2.377418601,2.314151571,2.062980534,0.789542324,0.795412157,1.060497907,1.255531855,1.435199372,4
0.760745293,1.205543927,0.24959988,0.21378268,0.772913969,0.295058536,0.027853624,0.079063905,0.412051173,0.229537868,0.021207573,0.824247492,2.349758298,2.361484044,2.056472362,0.790621375,0.803520579,1.069123717,1.26540545,1.517458147,4
0.071083711,0.696190796,0.043475545,0.604409982,0.240221652,0.030746502,0.239825274,0.139446428,0.485665102,1.79783629,0.11499215,0.325687028,1.658349031,3.453583825,1.032525889,0.728935947,0.907494305,1.089724699,1.209806863,1.567144723,4
2.298408326,0.892377409,0.05799854,0.646080964,0.217747305,0.017749224,0.237164244,0.146374527,0.214854727,2.090387128,0.158402518,0.163890969,1.570128375,4.066257177,1.36763257,0.943030267,1.114259534,1.081612141,1.29089513,1.531999678,4
0.151555417,0.494859338,0.503498628,0.65172498,0.420760627,0.49887444,0.763466208,0.81989765,0.874058505,0.800071401,0.546447741,0.591356801,0.414214169,0.387977113,0.237801744,0.543770984,0.20377859,1.191829165,1.286773337,0.597834534,1
0.151555417,0.494859338,0.503498628,0.65172498,0.420760627,0.546447741,0.591356801,0.414214169,0.387977113,0.237801744,0.49887444,0.763466208,0.81989765,0.874058505,0.800071401,0.543770984,0.20377859,1.191829165,1.286773337,0.597834534,1
0.151555417,0.65172498,0.420760627,0.494859338,0.503498628,0.49887444,0.874058505,0.800071401,0.763466208,0.81989765,0.546447741,0.387977113,0.237801744,0.591356801,0.414214169,0.543770984,0.20377859,1.191829165,1.286773337,0.597834534,1
0.118325274,0.49181267,0.501384143,0.633464713,0.445516538,0.497644153,0.759050096,0.831089919,0.895282368,0.840092132,0.547475562,0.585790167,0.44432539,0.342632833,0.268321436,0.546813826,0.211888269,1.193026955,1.289437805,0.685471176,1
0.14384906,0.502701371,0.592621546,0.609745828,0.471539216,0.519653639,0.752522484,0.848418044,0.79047953,0.727595472,0.441375011,0.539274499,0.433035284,0.442415876,0.29612103,0.540756526,0.182472018,1.191284387,1.289996363,0.729830525,1
0.826200834,0.49291141,0.723487901,0.722876954,0.907817578,0.86939396,0.838999057,2.505737004,0.889031441,0.834427816,0.465228094,0.61562746,0.286945071,1.379411257,0.679091049,0.869145792,0.498752692,1.193173283,1.284778418,0.540478134,1
0.792970692,0.489864742,0.721373416,0.704616687,0.932573488,0.868163672,0.834582945,2.516929273,0.910255304,0.874448547,0.466255915,0.610060826,0.317056292,1.334066978,0.709610742,0.872188635,0.496413991,1.194607935,1.287206023,0.676050018,1
0.818494477,0.500753443,0.812610819,0.680897802,0.958596166,0.890173158,0.828055333,2.534257399,0.805452466,0.761951887,0.360155363,0.563545157,0.305766186,1.43385002,0.737410336,0.866131334,0.515179991,1.192966131,1.287663816,0.743568144,1
0.102588727,0.495295658,0.521139244,0.662661233,0.465090768,0.54061963,0.760588864,0.836758279,0.898612959,0.833872696,0.561456982,0.370892297,1.090427554,0.361036375,0.271641048,0.584845488,0.254550031,1.185220613,1.264846966,0.526209875,1
0.184873055,0.495475807,0.509878415,0.658243814,0.453609193,0.529952506,0.758708011,0.833486189,0.888844656,0.818875394,0.557926756,0.417177661,0.9467201,0.373707518,0.263466916,0.579396399,0.222957803,1.203911533,1.298011704,0.713289862,1
0.091147721,0.416501501,0.354628272,0.2572573,0.334788047,0.213219569,2.92416159,0.398076778,0.602968614,0.613678931,0.49058353,0.096607138,0.542866524,0.070155596,0.141929765,0.503238058,0.670903648,1.103583822,1.224434621,0.509963634,2
0.091147721,0.416501501,0.354628272,0.2572573,0.334788047,0.49058353,0.096607138,0.542866524,0.070155596,0.141929765,0.213219569,2.92416159,0.398076778,0.602968614,0.613678931,0.503238058,0.670903648,1.103583822,1.224434621,0.509963634,2
0.091147721,0.2572573,0.334788047,0.416501501,0.354628272,0.213219569,0.602968614,0.613678931,2.92416159,0.398076778,0.49058353,0.070155596,0.141929765,0.096607138,0.542866524,0.503238058,0.670903648,1.103583822,1.224434621,0.509963634,2
0.062196473,0.397235553,0.335722889,0.242416028,0.287508025,0.156980741,2.925364487,0.368284827,0.586774857,0.636662236,0.450644239,0.130375735,0.465950227,0.070930111,0.13320047,0.483349793,0.67523004,1.094491975,1.216490831,0.636335169,2
0.150458818,0.496649059,0.415380331,0.31472207,0.389996338,0.180408666,2.932732718,0.26862243,0.572912672,0.563036366,0.51700369,0.021196013,0.451827823,0.101083899,0.148259162,0.501619337,0.671992622,1.113286765,1.235608271,0.688314144,2
0.776006147,0.416407801,0.411434281,0.288878767,1.22731288,0.56746541,0.50669743,1.957932278,1.266808294,2.592442968,0.118114898,0.38242339,2.217315184,0.648803538,0.312920755,0.912730935,0.747074888,1.105100038,1.221490377,0.527239602,2
0.747054899,0.397141853,0.392528898,0.274037494,1.180032858,0.511226582,0.507900327,1.928140328,1.250614537,2.615426273,0.078175608,0.416191987,2.140398887,0.649578054,0.30419146,0.89284267,0.74371122,1.095925793,1.213628986,0.691098739,2
0.835317245,0.496555359,0.47218634,0.346343537,1.282521172,0.534654507,0.515268558,1.82847793,1.236752352,2.541800404,0.144535058,0.307012266,2.126276483,0.679731842,0.319250152,0.911112214,0.71018136,1.114924306,1.232542703,0.742865327,2
0.05145023,0.360678726,0.312000326,0.259623242,0.332035878,0.251618264,2.899470975,0.662008296,0.62126579,0.604685509,0.488879128,0.144831362,0.162228036,0.139459148,0.118683705,0.493927908,0.669736605,1.098485853,1.202731266,0.576632926,2
0.098750451,0.38010949,0.329187508,0.247047918,0.328670425,0.248810807,3.242613132,0.558388516,0.606535482,0.601482888,0.489631768,0.127568475,0.147930612,0.118037409,0.121894693,0.509777305,0.750917738,1.126360003,1.247457663,0.527107324,2
0.112175536,2.044775424,2.224041684,1.934189892,2.157789574,1.90003058,3.067425207,1.342697153,3.231113058,3.594336454,1.969898352,0.949760932,1.938805969,0.152600485,0.402735593,1.801491726,1.025183017,2.872619267,3.025527984,3.679512783,3
0.112175536,2.044775424,2.224041684,1.934189892,2.157789574,1.969898352,0.949760932,1.938805969,0.152600485,0.402735593,1.90003058,3.067425207,1.342697153,3.231113058,3.594336454,1.801491726,1.025183017,2.872619267,3.025527984,3.679512783,3
0.112175536,1.934189892,2.157789574,2.044775424,2.224041684,1.90003058,3.231113058,3.594336454,3.067425207,1.342697153,1.969898352,0.152600485,0.402735593,0.949760932,1.938805969,1.801491726,1.025183017,2.872619267,3.025527984,3.679512783,3
0.06063078,2.097749174,2.28060466,1.92241113,2.219456671,1.895037374,3.07696816,1.331458232,3.228183968,3.545620545,1.995198816,0.917476279,1.949199354,0.12580099,0.468551228,1.807623157,1.029437335,2.87488843,3.028647268,3.783589125,3
0.114939789,2.007532429,2.205920076,1.998912493,2.194705469,1.919071468,2.936256209,1.309544965,3.218981832,3.598593342,1.980471925,0.848235442,1.864830222,0.099999229,0.371395712,1.777959374,1.029664409,2.864969302,3.019475272,3.770839871,3
1.966049084,2.047471233,2.141589423,1.938005303,1.415387136,2.642027057,3.180727451,3.943070841,3.515567186,4.034653132,0.927259067,2.166692521,2.41822524,1.500855623,2.524549398,2.42414198,0.878141585,2.8747473,3.023413883,3.427719481,3
1.914504327,2.100444983,2.1981524,1.926226542,1.477054232,2.637033851,3.190270405,3.93183192,3.512638097,3.985937223,0.952559531,2.134407868,2.428618625,1.474056128,2.590365033,2.430273411,0.86676254,2.877257872,3.026291758,3.417740933,3
1.968813336,2.010228238,2.123467815,2.002727904,1.452303031,2.661067945,3.049558453,3.909918653,3.503435961,4.03891002,0.93783264,2.065167032,2.344249494,1.448254367,2.493209518,2.400609627,0.868387758,2.867196128,3.017262378,3.428180472,3
0.04618258,2.058028347,2.239907917,1.79180738,2.063138083,0.746612123,2.958693114,1.672658159,3.204061157,3.537641945,1.730246374,0.799829412,2.929968621,0.03765241,0.094747855,1.727411698,1.127866266,2.843468848,2.986775954,3.405182301,3
0.119691748,2.053197329,2.236775756,1.825543392,2.089769971,1.078837879,3.00201573,0.989469949,3.220728887,3.548136599,1.89970981,0.899681335,2.698695088,0.046761383,0.0810601,1.71933833,1.108104648,2.882022873,3.038349219,3.68360743,3
9.363865667,7.552533436,2.328370722,58.67502643,33.0577006,58.67502643,57.29981568,57.04092717,57.29981568,38.23467313,50.19796974,60.0610185,59.2537701,60.0610185,59.2537701,44.55702013,20.63517125,63.1384223,66.05659949,82.09074955,4
9.363865667,7.552533436,2.328370722,58.67502643,33.0577006,50.19796974,60.0610185,59.2537701,60.0610185,59.2537701,58.67502643,57.29981568,57.04092717,57.29981568,38.23467313,44.55702013,20.63517125,63.1384223,66.05659949,82.09074955,4
9.363865667,58.67502643,33.0577006,7.552533436,2.328370722,58.67502643,57.29981568,38.23467313,57.29981568,57.04092717,50.19796974,60.0610185,59.2537701,60.0610185,59.2537701,44.55702013,20.63517125,63.1384223,66.05659949,82.09074955,4
