TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
0,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.285740104,0.010790705,2.622706225,4.31894878,4.659013186,0.340064406,0,-1,1,0.283707594,0.172324857
33.20999999,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.166303023,0.010790705,2.622706225,4.31894878,4.661004401,0.342055621,90,256,1,0.159889179,0.072991904
66.51899999,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.166303023,0.010790705,2.622706225,4.31894878,4.661004401,0.342055621,180,512,1,0.267352677,0.066694448
116.48675,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.166303023,0.010790705,2.622706225,4.31894878,4.661004401,0.342055621,270,256,1,0.31664944,0.069776705
149.30141,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.164677575,0.010790705,2.622706225,4.31894878,4.661031002,0.342082222,360,-1,1,0.297361843,0.039530187
182.09117,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.107216162,0.010790705,2.622706225,4.31894878,4.661962758,0.343013978,450,-256,1,0.235230205,0.044574457
215.91777,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.069267416,0.010790705,2.622706225,4.31894878,4.662568921,0.343620141,540,-512,1,0.368758081,0.080499906
248.92515,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.009688713,0.010790705,2.622706225,4.31894878,4.663505823,0.344557043,630,-256,1,0.387712819,0.074129374
281.98301,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.976144558,0.010790705,2.622706225,4.31894878,4.664025375,0.345076595,720,-1,1,0.409160171,0.039067246
299.685,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.955621627,0.010790705,2.622706225,4.31894878,4.664340422,0.345391642,810,-1,256,0.388661066,0.029560849
321.891,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.955150158,0.010790705,2.622706225,4.31894878,4.664347634,0.345398854,900,256,256,0.628077561,0.029078949
355.159,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.95399554,0.010790705,2.622706225,4.31894878,4.664365292,0.345416512,990,512,256,0.445026763,0.056342436
401.785,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.942665715,0.010790705,2.622706225,4.31894878,4.664538203,0.345589423,1080,256,256,0.605116353,1.272978252
435.094,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,2.937686292,0.010790705,2.622706225,4.31894878,4.66461399,0.34566521,1170,-1,256,0.394819543,0.060199177
484.15183,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,0.251617199,0.010790705,2.622706225,4.31894878,4.686792127,0.367843347,1260,-256,256,0.593394333,0.078971729
505.51649,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.022460254,0.010790705,2.622706225,4.31894878,4.663306504,0.344357724,1350,-512,256,0.271303741,0.293057497
551.65356,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.100915608,0.010790705,2.622706225,4.31894878,4.662063904,0.343115124,1440,-256,256,0.505522166,0.053600767
584.93117,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.185221327,0.010790705,2.622706225,4.31894878,4.660693816,0.341745036,1530,-1,256,0.449983692,0.035457465
617.37034,-1,1,-28.2541,-176.1334,-0.113,0.113,-3.1927133,-19.9030742,-0.010790705,3.24112098,0.010790705,2.622706225,4.31894878,4.659765508,0.340816728,1620,-1,1,0.442718872,0.050834725
