TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
851.37387,-1,1,86.1944,-386.5113,-0.113,0.113,9.7399672,-43.6757769,-0.010790705,1.382601768,0.010790705,0.093213572,4.31894878,27.50410905,23.18516027,2250,-512,-256,0.197776576,0.080257049
884.8193,-1,1,86.1944,-386.5113,-0.113,0.113,9.7399672,-43.6757769,-0.010790705,1.382601768,0.010790705,0.093213572,4.31894878,27.50410905,23.18516027,2340,-256,-256,0.357837239,0.065287582
918.05851,-1,1,-12.4447,-420.6958,-0.113,0.113,-1.4062511,-47.5386254,-0.010790705,4.279422478,0.010790705,-10.37031567,4.31894878,0.274086702,4.044862078,2430,-1,-256,0.23518941,0.066307566
951.33184,-1,1,-11.9323,-429.4888,-0.113,0.113,-1.3483499,-48.5322344,-0.010790705,0.392152669,0.010790705,-0.340693787,4.31894878,21.76303755,17.44408877,0,0,0,0,0
984.43309,-1,1,-11.9323,-429.4888,-0.113,0.113,-1.3483499,-48.5322344,-0.010790705,4.310691996,0.010790705,-10.53251993,4.31894878,0.359976598,3.958972182,0,0,0,0,0
1001.354,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,5.293350471,0.010790705,-10.00652312,4.31894878,1.046636052,3.272312728,0,0,0,0,0
1051.15257,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,5.224993737,0.010790705,-10.01533082,4.31894878,1.046185349,3.272763431,0,0,0,0,0
1084.82485,-1,1,80.3932,-355.5547,-0.113,0.113,9.0844316,-40.1776811,-0.010790705,5.224993737,0.010790705,-10.01533082,4.31894878,1.046185349,3.272763431,0,0,0,0,0
1117.79524,-1,1,67.297,-281.0348,-0.113,0.113,7.604561,-31.7569324,-0.010790705,4.368511706,0.010790705,-9.804465651,4.31894878,2.773445248,1.545503532,0,0,0,0,0
1151.33455,-1,1,61.927,-278.6157,-0.113,0.113,6.997751,-31.4835741,-0.010790705,4.507182383,0.010790705,-10.43770777,4.31894878,2.625825759,1.693123021,0,0,0,0,0
1184.53819,-1,1,19.6576,-206.5316,-0.113,0.113,2.2213088,-23.3380708,-0.010790705,4.19890813,0.010790705,-10.2642805,4.31894878,3.505686459,0.813262321,0,0,0,0,0
1218.14221,-1,1,14.4757,-191.1795,-0.113,0.113,1.6357541,-21.6032835,-0.010790705,5.056678704,0.010790705,-9.568847009,4.31894878,2.096677215,2.222271565,0,0,0,0,0
1250.87081,-1,1,14.4757,-191.1795,-0.113,0.113,1.6357541,-21.6032835,-0.010790705,5.104791637,0.010790705,-9.600524247,4.31894878,2.085324463,2.233624318,0,0,0,0,0
1284.37314,-1,1,6.009,-150.187,-0.113,0.113,0.679017,-16.971131,-0.010790705,5.019975351,0.010790705,-9.197693709,4.31894878,2.490746272,1.828202508,0,0,0,0,0
1317.57465,-1,1,6.009,-150.187,-0.113,0.113,0.679017,-16.971131,-0.010790705,5.054769365,0.010790705,-9.315269974,4.31894878,2.461225139,1.857723641,0,0,0,0,0
1351.12106,-1,1,-6.0643,-65.6815,-0.113,0.113,-0.6852659,-7.4220095,-0.010790705,4.988956572,0.010790705,-8.676943451,4.31894878,3.262670646,1.056278134,0,0,0,0,0
1383.68326,-1,1,-3.1936,-52.1002,-0.113,0.113,-0.3608768,-5.8873226,-0.010790705,5.01359652,0.010790705,-8.685784909,4.31894878,3.367871031,0.951077749,0,0,0,0,0
1417.39893,-1,1,-0.4298,-47.8526,-0.113,0.113,-0.0485674,-5.4073438,-0.010790705,5.112235401,0.010790705,-8.661316625,4.31894878,3.385152298,0.933796482,0,0,0,0,0
1450.9745,-1,1,0.6624,-23.3098,-0.113,0.113,0.0748512,-2.6340074,-0.010790705,5.112489667,0.010790705,-8.497900133,4.31894878,3.605156793,0.713791987,0,0,0,0,0
1484.29335,-1,1,-0.8767,-21.5231,-0.113,0.113,-0.0990671,-2.4321103,-0.010790705,5.135160797,0.010790705,-8.53669602,4.31894878,3.613873186,0.705075594,0,0,0,0,0
1517.52117,-1,1,-1.0125,-22.1461,-0.113,0.113,-0.1144125,-2.5025093,-0.010790705,5.120687347,0.010790705,-8.565345198,4.31894878,3.601357922,0.717590858,0,0,0,0,0
1550.90474,-1,1,-4.602,-27.0653,-0.113,0.113,-0.520026,-3.0583789,-0.010790705,5.093956983,0.010790705,-8.621296194,4.31894878,3.548252846,0.770695934,0,0,0,0,0
1584.22501,-1,1,-4.602,-27.0653,-0.113,0.113,-0.520026,-3.0583789,-0.010790705,5.093128171,0.010790705,-8.607426155,4.31894878,3.549740193,0.769208587,0,0,0,0,0
1617.1442,-1,1,-4.602,-27.0653,-0.113,0.113,-0.520026,-3.0583789,-0.010790705,5.093128171,0.010790705,-8.607426155,4.31894878,3.549740193,0.769208587,0,0,0,0,0
1650.39336,-1,1,-4.8567,-28.2403,-0.113,0.113,-0.5488071,-3.1911539,-0.010790705,5.128057787,0.010790705,-8.619870369,4.31894878,3.529663898,0.789284882,0,0,0,0,0
1684.09835,-1,1,-6.6653,-28.4825,-0.113,0.113,-0.7531789,-3.2185225,-0.010790705,0.445326758,0.010790705,3.702797295,4.31894878,80.61865554,76.29970676,0,0,0,0,0
1717.38591,-1,1,-15.2343,-77.9693,-0.113,0.113,-1.7214759,-8.8105309,-0.010790705,0.358816294,0.010790705,3.20498291,4.31894878,79.66545927,75.34651049,0,0,0,0,0
1750.8157,-1,1,-15.2343,-77.9693,-0.113,0.113,-1.7214759,-8.8105309,-0.010790705,0.358816294,0.010790705,3.20498291,4.31894878,79.66545927,75.34651049,0,0,0,0,0
1784.03926,-1,1,-15.2343,-77.9693,-0.113,0.113,-1.7214759,-8.8105309,-0.010790705,0.358816294,0.010790705,3.20498291,4.31894878,79.66545927,75.34651049,0,0,0,0,0
1817.4982,-1,1,27.8017,-251.1897,-0.113,0.113,3.1415921,-28.3844361,-0.010790705,4.590724111,0.010790705,-11.67462958,4.31894878,2.514824435,1.804124345,0,0,0,0,0
1863.22068,-1,1,-3.9887,-184.3173,-0.113,0.113,-0.4507231,-20.8278549,-0.010790705,4.267114627,0.010790705,-11.01208206,4.31894878,3.561203338,0.757745442,0,0,0,0,0
1895.82911,-1,1,20.9112,-98.8437,-0.113,0.113,2.3629656,-11.1693381,-0.010790705,5.381675208,0.010790705,-9.350891701,4.31894878,2.858853958,1.460094822,0,0,0,0,0
1917.35875,-1,1,25.9082,-72.3486,-0.113,0.113,2.9276266,-8.1753918,-0.010790705,5.432723086,0.010790705,-9.134805476,4.31894878,3.106776348,1.212172432,0,0,0,0,0
1962.46254,-1,1,20.8058,-57.7061,-0.113,0.113,2.3510554,-6.5207893,-0.010790705,5.381665448,0.010790705,-8.990639202,4.31894878,3.241869489,1.077079291,0,0,0,0,0
1996.31403,-1,1,-13.738,-10.5739,-0.113,0.113,-1.552394,-1.1948507,-0.010790705,5.039679177,0.010790705,-8.551968336,4.31894878,3.678864647,0.640084133,0,0,0,0,0
2029.02842,-1,1,-16.6556,-4.5004,-0.113,0.113,-1.8820828,-0.5085452,-0.010790705,5.023575075,0.010790705,-8.486305603,4.31894878,3.733879459,0.585069321,0,0,0,0,0
2062.64594,-1,1,-21.9527,2.4716,-0.113,0.113,-2.4806551,0.2792908,-0.010790705,4.97401159,0.010790705,-8.436236715,4.31894878,3.796641434,0.522307346,0,0,0,0,0
2095.95342,-1,1,-28.0243,11.14,-0.113,0.113,-3.1667459,1.25882,-0.010790705,4.918887026,0.010790705,-8.36657073,4.31894878,3.879171074,0.439777706,0,0,0,0,0
2129.39956,-1,1,-22.8898,19.1587,-0.113,0.113,-2.5865474,2.1649331,-0.010790705,4.961291506,0.010790705,-8.305362893,4.31894878,3.949455682,0.369493098,0,0,0,0,0
2162.47662,-1,1,-13.5161,18.488,-0.113,0.113,-1.5273193,2.089144,-0.010790705,5.069703954,0.010790705,-8.290519879,4.31894878,3.941595443,0.377353337,0,0,0,0,0
2195.91566,-1,1,-12.5749,13.7832,-0.113,0.113,-1.4209637,1.5575016,-0.010790705,5.078476211,0.010790705,-8.361412387,4.31894878,3.889926281,0.429022499,0,0,0,0,0
2229.0489,-1,1,-7.0531,7.1966,-0.113,0.113,-0.7970003,0.8132158,-0.010790705,5.135042634,0.010790705,-8.439679015,4.31894878,3.823174759,0.495774021,0,0,0,0,0
2262.89826,-1,1,-3.1718,8.8926,-0.113,0.113,-0.3584134,1.0048638,-0.010790705,5.176482893,0.010790705,-8.424869217,4.31894878,3.840881545,0.478067235,0,0,0,0,0
2296.21711,-1,1,-4.7281,3.8465,-0.113,0.113,-0.5342753,0.4346545,-0.010790705,5.151822363,0.010790705,-8.48350439,4.31894878,3.790915471,0.528033309,0,0,0,0,0
2329.17897,-1,1,-6.6844,1.8904,-0.113,0.113,-0.7553372,0.2136152,-0.010790705,5.14138532,0.010790705,-8.493834189,4.31894878,3.772825331,0.546123449,0,0,0,0,0
2361.90686,-1,1,-5.1095,-3.0117,-0.113,0.113,-0.5773735,-0.3403221,-0.010790705,5.159222783,0.010790705,-8.544517269,4.31894878,3.724481628,0.594467152,0,0,0,0,0
2367.038,-1,1,-0.0183,-2.7552,-0.113,0.113,-0.0020679,-0.3113376,-0.010790705,5.217262783,0.010790705,-8.547511191,4.31894878,3.725679126,0.593269655,0,0,0,0,0
